X,Y,LOCALITA',icon_url
12.1143266122147,42.9562205413281,PONIBBIALE,./0.png
12.117219046813,42.958555713869,PRATALENZA,./0.png
12.1191317248601,42.944917362263,MONTARALE,./0.png
12.1180313788134,42.9721436329515,IERNA,./0.png
12.1301013894276,42.9905842412966,MACERETO ALTO,./0.png
12.1408117427098,42.966658608013,VIGNAIE,./0.png
12.1519653858222,42.945281805044,GREPPOLISCHIETO,./0.png
12.1578081252047,42.9899036754338,ORO,./0.png
12.1627677556337,42.9889531233671,VINCENZE,./0.png
12.165349939788,42.987334925979,GINESTRETO,./0.png
12.1672453811223,42.9846371526616,LA PEVOLE,./0.png
12.1712013935747,42.9792698293296,CASTIGLION FOSCO,./0.png
12.1753656120181,42.9790616379612,COLLEBALDO,./0.png
12.2109787370237,42.9913413281674,PIETRAFITTA,./0.png
12.2354388397135,42.9806056377806,CIBOTTOLA,./0.png
12.1601402005038,43.0020802783853,PALOMBARO DEL CIECO,./0.png
12.163685989581,43.0051702390953,RIOLO,./0.png
12.1890393248167,43.0102893255041,ACQUAIOLA - GRATIANO,./0.png
12.09127136169,42.9785005017116,BORGHETTO,./0.png
12.1597638943165,42.9615410310386,CITTA' DI FALLERA,./0.png
12.2043546806942,42.9893009727748,ABBADIA SETTEFRATI,./0.png
12.2114268501949,42.9848153217403,COLLICELLO,./0.png
12.1902403877296,42.9647007598088,FONTANA,./0.png
12.1725110000647,43.0063581745064,NOCIARELLE - SCARPIELLO,./0.png
12.1326566205481,42.9941760519406,CASACECCAME,./0.png
12.1780559292088,42.9704352951711,GAICHE,./0.png
12.1282046670501,42.9656141357136,BORGA SALA,./0.png
12.0862003935195,42.9704915508731,PIEGARO,./0.png
